Which of the following languages can be used to write server side scripting in ASP.NET | Both A and C (C# va Visual Basic)
The Following are the minimum requirement to run Asp.net | Common Language Runtime
When a .aspx page is requested from the web server, the out put will be rendered to browser in following format | HTML
What executable unit gets created when we build an ASP.Net application?Skill/Topic | . DLL
The best way to delimit ASP.Net code from HTML code in your pages is by using --------------- tags.Skill/Topic: Beginner | < Script >
The code will be processed on web server when the runat attribute of the < Script > tag has the following value.Skill/Topic: Beginner | Server
The Asp.net server control, which provides an alternative way of displaying text on web page, isSkill/Topic: Beginner | < asp:label >
asp:dropdownlist> tag replaces which of the HTML tagsSkill/Topic: Beginner | < Select >
The first event to be triggered in an aspx page isSkill/Topic: Beginner | Page_Init()
Postback occurs in which of the following formsSkill/Topic: Beginner | Webforms
what namespace does the Web page belong in the .NET Framework class hierarchy?Skill/Topic: Beginner | System.web.UI.Page
Which method do you invoke on the Data Adapter control to load your generated datasetSkill/Topic: Beginner | Fill ( )
How many configuration files can an ASP.NET projects have?Skill/Topic: Beginner | One
How do you register a user control?Skill/Topic: Beginner | Add Src, Tagprefix, Tagname
How do you post the current page to a different aspx page ?Skill/Topic: Beginner | FORM ACTION="actiopage.aspx" RUNAT="server" method="post"
Which of these namespaces used for FileAccessSkill/Topic: Beginner | System.IO
Which of the following is true ?Skill/Topic: Beginner |  Custom controls are displayed correctly in VS.Net Designer
Can a dll run as stand alone application ?Skill/Topic: Beginner |  No
To add a custom control to a Web form we have to register with Skill/Topic: Beginner | All of the above
Custom Controls are derived from which of the classesSkill/Topic: Beginner | System.Web.UI.Customcontrols.Webcontrol
A web application running on multiple servers is called as Skill/Topic: Beginner | Webfarm
What is the transport protocol used to call a webserviceSkill/Topic: Beginner | SOAP
How ASP.Net Different from ASPSkill/Topic: Beginner | Scripting is separated from the HTML, Code is compiled as a DLL, the DLLs can be executed on server
What’s the difference between Response.Write() andResponse.Output.Write()?Skill/Topic: Beginner | Response.Output.Write() allows you to write formatted output
Why is Global.asax is used Skill/Topic: Beginner | Implement application and session level events
