The higher the _____ of the router, the lower the ______ | Speed….processing delay
As soon as the browser receives the IP address from____, it can initiate a TCP connection to the HTTP server located at port_____ at that IP address | DNS… 80
The client-server model significantly relies on ____ infrastructure servers, the Peer-to-Peer model, instead, pairs of interminably connected peers, communicates ____ with each other| Always-on….directly
Although HTTP is____, if the webserver wants to identify the users, ____is used| Stateless…Cookies
FTP uses port 21 for sending…. and port 20 for sending…..| Identification and password…. Data file
MIME is short for | Multipurpose Internet Mail Extensions
Regarding to the DNS, IP addresses such as 209.191.122.70 or 10.22.8.8 are ____ to remember by human, but _____ to process by routers | Difficult… Easy
What type of DNS Server has the IP addresses of all names in the Autonomous? | authoritative
Which of the following is hybrid of client-server and P2P? | Skype
Assume the RTT 40ms, the size of the Web object 0.2Mb and the transmission rate 20Mbps, how long does it take to download that object from a Web Server to a client if using non-persistent HTTP?? | 90ms
Which one is incorrect about proxy? | Client caches the whole website to improve the downloading speed
The connection establishment procedure in TCP is susceptible to a serious security problem called the _________ attack.| SYN flooding
The job of delivering the data in a transport-layer segment to the correct socket is called_________. | De-multiplexing
Which one is not in UDP segment header? | Receiving Windows
rdt 1.1 assumes that the channel is | Perfectly reliable
TCP connection provides ___________.| Full-duplex service
In TCP congestion control, two important variables the sender has to keep track are | Congestion window and the threshold
UDP and TCP use 1s complement checksum. Suppose you have the followings 2 bytes: 00110111 and 01011100. What is the 1s complement of the sum of those two bytes?| 01101100
If the segment has sequence number of 128 and length of 8 bytes, the receiving computer will send ACK with value of _________| 136
Host A and B are communicating over a TCP connection, host A send to host B the first segment with size 45 bytes, sequence number 200, the source port 1038, the destination port 80. What is the ACK number, the source port number, the destination port number in the ACK segment sent by host B to host A| ACK number: 245, source port: 80, destination port: 1038
In ________, if timeout occurs while the current congestion window size is 64, the congestion window will reduce to 1| The congestion avoidance phase of TCP congestion control
How many default gateway addresses does a computer need to function on a LAN (assume that not connect to other network)?| 0
In a Datagram networks,| No call setup and packets may take different paths for the same source-destination pair
The purpose of echo request and echo reply is to | check node-to-node communication
Which field in the IP header is used to prevent an IP packet from continuously looping through a network? | Time-to-Live (TTL)
What type of routing algorithm that OSPF use?| Link State Routing Algorithm
What is (are) correct about DHCP?| All of the others
What is the 32-bit binary equivalent of the IP address 254.1.8.252?| 11111110.00000001.00001000.11111100
Suppose an ISP owns the block of addresses of the form 101.101.101.128/30, which address can be assigned to its customer? | 101.101.101.129
Suppose datagrams are limited to 1500bytes including IP header of 20 bytes. UDP header is 8 bytes. How many datagrams would be required to send an MP3 of 50000 bytes | 34
_____ in link layer guarantees to move each _____ datagrams across the link without error | Reliable delivery…..network
Single parity check can | Detect a single bit error
Assume the original message to be sent 101110, the generator is 1001. What is the remainder resulted during the CRC computation? | 011
______is used in Ethernet | CSMA/CD
Ethernet technologies provides ____ to the network layer | Unreliable service
Switch has a characteristic of | Self-learning
While MAC address is ___bit long, IP address is___ bit long | 48…32
Which one is a MAC address: | F0-F0-16-F2-15-00
In the exponential backoff phase of CSMA/CD for a 50Mbps Ethernet, after the first collision of a frame, the adapter then waits …. before sensing the channel again.| Either 0 or 10.24 microseconds
Either 0 or 10.24 microseconds |802.11
There are two categories of physical transmission medium: | Guided medium and unguided medium
