Why do we need consider security for project | To protect the system against external attack
Which of the following design guidelines for secure systems engineering is NOT true | Avoid using redundancy and diversity to reduce risk
What is the last stage in survivability analysis | Identify softspots and survivability strategies
All of the following are the complementary strategies to achieve survivability EXCEPT | Conversion
Define the security terms 'attack' | An exploitation of a system's vulnerability. Generally, this is from outside the system and is a deliberate attempt to cause some damage
Which is the correct statement about integrity | Extent to which access to software or data by an unauthorized persons can be controlled
Probability of a software failure is the | Reliability
Password should be changed | On regular basis
What was the software crisis | As more powerful hardware was introduced in the 1960s, larger software systems were developed. These were usually late, unreliable, did not meet user needs and cost more than expected. The problems of producing software was the software crisis
What are the two fundamental types of software product | Generic products that are designed to meet the needs of many different customers
What is software engineering | An engineering discipline concerned with all aspects of software production from specification to system maintenance
What are the fundamental activities in software processes | Software specifiation, software development, software validation and software evolution
What are the three general paradigms of software development | The waterfall approach, iterative development, component-based software engineering
What are the principal components of a software engineering method | System model descriptions, rules, recommendations, process guidance
What does the acronym CASE stand for | Computer Aided Software Engineering
Why is maintainability an important attribute of software | Because all software is subject to change after it goes into use and the costs of software maintenance often exceeds the development costs of the software
What are three key challenges facing software engineering | The heterogeneity challenge, the delivery challenge, the trust challenge
What is a software engineering code of ethics | A set of principles that set out, in a general way, standards of expected behaviour for professional software engineers
What are the fundamental activities that are common to all software processes | Software specification, software design and implementation, software validation, software evolution
Why are iterations usually limited when the waterfall model is used | The waterfall model is a document-driven model with documents produced at the end of each phase. Because of the cost of producing and approving documents, iterations and costly and involve significant rework. Hence they are limited
Briefly describe two types of evolutionary development | Exploratory development where the objective of the process is to work with customers to explore their requirements and deliver a final-system. Throw-away prototyping where the objective is to develop a better understanding of the customer’s requirements and deliver a better requirements specification
Why is it increasingly irrelevant to distinguish between software development and evolution | Few software systems are now completely new and a more realistic model of software development is of an iterative process that lasts for the lifetime of the software
What are the four phases of the Rational Unified Process | Inception, elaboration, construction, transition
What is the distinction between a CASE tool and a CASE workbench | A CASE tool supports an individual process task such as checking the consistency of a design. A CASE workbench supports sets of related activities such as specification or design
List five common project management activities | Any five from the following: proposal writing, project planning and scheduling, project costing, project monitoring and reviewing, personnel selection and evaluation, report writing and presentations
