#cost performance baseline is an output of | determine budget
#Cost Variance (CV) | Earned Value (EV) - Actual Cost (AC)
#Which of followings can be used to perform trend analysis to forecast future outcomes based on historical patterns ? | run chart
#Budget forecast and work performance measurement are an output of | control costs
#All of the following are important tools and techniques for developing project  schedule, except | progress reports
#Which of the following is a line chart that show data points plotted in the order in which they occur | run chart
#Which tool or technique for collecting requirements is often the most expensive and time consuming
#According to Luc Richard, the founder of www.projectmangler.com, five points of using project milestones include the following, except | Keep project milestones to be medium/large and nearly frequent
#Work performance measurements are output of | Estimating activities resources

Which of the following is a task at the lowest level of the WBS | A work package
Which of the following describes how project requirements will be analyzed, documented, and managed | A requirements management plan
Company A decided to build a website | Intangible benefit tangible cost
When planning cost for the project, project manager included 10% of estimated effort in estimation of future|Contingency reserves
AC = 50000 | -10000 -5000
Validated changes are output of | Perform quality control
Which of the following can we use to show if there is a relationship | Scatter diagram
The process needs to be examined for non-random | All the others
uses project characteristics in a mathematical model to estimate project costs | Parametric modeling
states that when many items are produced repetitively, the unit cost of those items | Leaning curve theory
ADM format of network diagram | Finish-to-Start
The dependencies of Task B on Task A is Finish-to-Start | Lead
Quality checklists and quality metrics are output of | Planning quality
a structured review of specific quality management | Perform quality audit
We can prevent defects by all of the followings | Carefully monitor project
All of the following are main techniques for shortening schedules | Use multi-tasking
to prevent defects, rather than to detect of reject them | Control chart
Which of followings can be used to perform trend analysis to forecast future outcomes based on historical patterns | Run chart
considers the total cost of ownership | Lifecycle costing
Achievement, recognition, the work itself, responsibility, advancement, and growth, which produce job|Motivational factors
is getting the right information to the right people at the right time and in a useful|Distribute information
Douglas McGregor introduced the following the human relations theories, except|Theory Z
In which of the following theory, McGregor assumes individuals consider work as natural as play or rest and enjoy the statisfaction of esteem|Theory Y

Which of the following is not one project attribute?|Has one or more purposes
An example of a project is:|Constructing a building or facility
All of the following are basic IT project portfolio categories, except?|Transform: projects in this category can be done to open new business domain.
______help their organizations make wise investment decisions by helping to select and analyze projects from a strategic perspective|Portfolio managers
Which of the following concerns on tactical goals?|Project management
In many organizations, project managers also support an emerging business strategy of project portfolio management. Portfolio management addresses question like_____.|Are we working on the right projects?
Quadruple Constraints of Project Management means ____constraints.|Cost, time, quality, and scope
A program is which one of the following?|A collection of projects with a common objective
In early phases of a traditional project life cycle, resource needs are usually ____ and the level of uncertainty is ____.|lowest, highest
In which of the following phases, do we have to develop a Work Breakdown Structure at level +3 at least?|Development
In which of the following phases, can we develop a definitive cost estimate?|Implementation
All of the following are phases of the traditional project lifecycle, Except?|Coding
Which of the following characteristics shows the degree to which work activities are organized around groups or team, rather than individuals?|Group emphasis
Who control the project budget in balance matrix organization structure?|Both project manager and functional manager
Project manager's authority in the project organization structure is ___________.|High to almost total
_____ focuses on producing harmony between the needs of the organization and the needs of the people.|The human resources frame
Develop project charter work belongs to the_________ PM Process Group.|Initiating
Direct and manage project executing belongs to the ...... PM Process Group.|Executing
Which is not a process group in project management (as mentioned in the PMBOK)?|Feedback
During project plan execution:|The project manager uses corrective action to bring future performance in line with the project plan.
In which process group do we identify human and non-human resources required for a project?|Initiating
_______processes include coordinating people and other resources to carry out the project plans and produce the products, services, or results of the project or phase|Executing
Which of the following outputs is often completed before initiating a project?|Business case
Which is NOT a task that is taken in pre-initiation phase?|Develop project charter
Which of the following processes is NOT a part of project integration management?|develop the project business case
What is the last step in four-stage planning processes for selecting information technology project?|Resource allocation
Which of the following is NOT a best practice for new product development projects?|select projects that will take less than two years to provide payback
A new government law requires an organization to report data in a new way. Under which category would a new information system project to provide this data fall?|Directive
If estimates for total discounted benefits for a project are $320,000 and total discounted costs are $200,000, what is the estimated return on investment (ROI)?|60 percent
A____________ is a document that formally recognizes the existence of a project and provides direction on the project's objectives and management.|project management plan
_________ ensures that the descriptions of the project's products are correct and complete.|Configuration management
